rank,market,period,median_sale_price,median_sale_price_yoy,inventory,inventory_yoy,new_listings,homes_sold,median_dom,median_dom_yoy,months_of_supply,pending_sales,pending_sales_yoy,health_score,health_bucket,dealability_score,bucket,data_source
1,"Johnson City, TN",2025-12,329273,4.5%,497,17.5%,129,168,67,7.4%,2.96,142,11.8%,87,BULLISH,94.2,GO DEEP,master_tsv
2,"Wilson, NC",2025-12,233374,-8.8%,180,-2.2%,42,48,44,-1.2%,3.75,51,27.5%,87,BULLISH,94.2,GO DEEP,master_tsv
3,"Fairmont, WV",2025-12,198028,1.2%,70,20.7%,24,35,88,10.2%,2.0,20,42.9%,74,BULLISH,88.3,GO DEEP,master_tsv
4,"Parkersburg, WV",2025-12,169460,-9.5%,135,-2.2%,32,53,61,15.0%,2.55,49,19.5%,74,BULLISH,88.3,GO DEEP,master_tsv
5,"Blacksburg, VA",2025-12,315226,9.1%,169,-5.1%,51,96,46,24.7%,1.76,64,16.4%,74,BULLISH,88.3,GO DEEP,master_tsv
6,"Danville, VA",2025-12,201073,44.3%,207,24.7%,52,53,54,-1.6%,3.91,52,20.9%,74,BULLISH,88.3,GO DEEP,master_tsv
7,"Staunton, VA",2025-12,316996,9.8%,200,-9.1%,64,128,46,154.2%,1.56,105,10.5%,74,BULLISH,88.3,GO DEEP,master_tsv
8,"Greenville, NC",2025-12,243313,-10.5%,357,6.6%,81,117,57,9.8%,3.05,112,17.9%,74,BULLISH,88.3,GO DEEP,master_tsv
9,"Harrisonburg, VA",2025-12,352144,5.4%,120,29.0%,56,68,37,14.8%,1.76,53,32.5%,74,BULLISH,88.1,GO DEEP,master_tsv
10,"Charleston, WV",2025-12,170584,3.4%,222,-7.1%,79,91,33,-6.4%,2.44,77,-6.1%,73,BULLISH,87.8,GO DEEP,master_tsv
11,"Huntington, WV",2025-12,216351,17.2%,360,2.3%,94,123,50,-3.9%,2.93,115,-8.7%,73,BULLISH,87.8,GO DEEP,master_tsv
